,School1,School2,Year,Distance,popDiff,perfDiff
171,"Abbey Church of England Voluntary Aided Primary School, St Albans",Bowmansgreen Primary School,2020,4027.589353447047,0.3666666666666668,2.477433299302972
172,Aboyne Lodge Junior Mixed and Infant School,Bowmansgreen Primary School,2020,4516.884324398844,0.2333333333333334,0.6259425973977635
173,Alban City School,Bowmansgreen Primary School,2020,4278.127861576837,0.08333333333333337,-0.036873172959318135
174,Bernards Heath Junior School,Bowmansgreen Primary School,2020,5063.376837645012,0.5222222222222223,2.865491408416138
176,Camp Primary and Nursery School,Bowmansgreen Primary School,2020,2865.632565420766,0.7999999999999999,0.373705474663788
177,Colney Heath Junior Mixed Infant and Nursery School,Bowmansgreen Primary School,2020,3413.021681735995,0.06666666666666665,2.259556771563747
178,Cunningham Hill Junior School,Bowmansgreen Primary School,2020,2632.610871359457,0.5666666666666668,4.308284983044347
179,Fleetville Junior School,Bowmansgreen Primary School,2020,3476.9280981924258,0.30000000000000004,0.9176376259313026
180,Garden Fields Junior Mixed and Infant School,Bowmansgreen Primary School,2020,5353.816769371175,0.04444444444444451,2.7425012684691374
181,How Wood Primary and Nursery School,Bowmansgreen Primary School,2020,3062.385997878125,0.2666666666666667,-1.5993758844276802
182,Killigrew Primary and Nursery School,Bowmansgreen Primary School,2020,3821.5358169196843,0.25,3.7059133261449806
183,London Colney Primary & Nursery School,Bowmansgreen Primary School,2020,593.1652383611164,-0.06666666666666665,-0.04310663459485564
184,Mandeville Primary School,Bowmansgreen Primary School,2020,3147.5731921593183,0.3833333333333334,0.056236087259778245
185,Maple Primary School,Bowmansgreen Primary School,2020,4351.948758889516,1.1333333333333333,4.563825875969393
186,Mount Pleasant Lane Primary School,Bowmansgreen Primary School,2020,5700.122805694628,0.13333333333333341,0.07026196974786325
187,Oakwood Primary School,Bowmansgreen Primary School,2020,3813.9697167124964,0.4,1.8276511451293422
188,Park Street Church of England Voluntary Aided Primary School,Bowmansgreen Primary School,2020,2773.1660606606306,-0.09999999999999998,3.0566940277086743
189,Prae Wood Primary School,Bowmansgreen Primary School,2020,4803.603855440205,0.30000000000000004,2.160494250849661
190,St Bernadette Catholic Primary School,Bowmansgreen Primary School,2020,254.70963860835735,0.5666666666666668,-0.04156826038926864
191,Samuel Ryder Academy,Bowmansgreen Primary School,2020,2009.9922885424212,0.45000000000000007,-0.5218850257516379
192,Skyswood Primary & Nursery School,Bowmansgreen Primary School,2020,5045.808161236414,1.0,5.307869855125862
193,St Adrian Roman Catholic Primary School,Bowmansgreen Primary School,2020,3475.423427440173,0.4,4.5322278859301655
194,St John Fisher Roman Catholic Primary School,Bowmansgreen Primary School,2020,4968.783050204547,-0.4333333333333333,1.6782783807813877
195,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Bowmansgreen Primary School,2020,5148.832877458735,0.5000000000000001,4.455836033868963
196,St Peter's School,Bowmansgreen Primary School,2020,3657.9984964458363,1.1,3.9725220376554176
