,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
167,London Colney Primary School,30,63,26,9.0,7.0,8.0,26.0,359.07,1369.51,23.0,14.0,15.0,11.0,2019,117146,0.83,0.11,-1.5,1.7,1,105,106,107,51.725985,-0.295531,517822,204404,0,2,3,8,27,2.0,0.7666666666666667,30
168,St Bernadette RC Nursery and Primary School **,30,83,30,0.0,0.0,0.0,30.0,0.0,0.0,34.0,24.0,15.0,10.0,2019,117489,0.82,0.14,0.6,0.2,0.8,108,107,107,51.719587,-0.300809,517474,203684,1,2,3,7,25,2.0,1.1333333333333333,30
169,Long Marston Voluntary Aided C of E Primary School **,20,21,13,0.0,0.0,0.0,13.0,0.0,0.0,11.0,7.0,3.0,0.0,2019,117459,0.75,0.08,0.2,1.6,-0.7,107,104,105,51.833099,-0.700592,489634,215741,0,0,0,0,2,2.0,0.55,<30
170,Markyate Village School & Nursery,45,47,34,17.0,15.0,1.0,34.0,1157.1,5796.22,31.0,6.0,8.0,2.0,2019,117127,0.53,0.03,-1.6,-0.5,-3.9,104,103,101,51.837889,-0.465286,505836,216589,0,0,0,0,2,2.0,0.6888888888888889,31-59
171,St Andrew's C of E Primary and Nursery (Much Hadham) **,30,50,27,0.0,0.0,0.0,27.0,0.0,0.0,26.0,10.0,7.0,7.0,2019,117444,0.77,0.08,-0.8,0,-2.2,107,108,105,51.850755,0.071519,542777,218935,0,0,0,0,5,2.0,0.8666666666666667,30
172,Ponsbourne St Mary's C of E VC Primary School,15,39,12,3.0,4.0,4.0,12.0,202.62,5375.35,9.0,14.0,5.0,11.0,2019,117396,0.83,0.17,0.3,-1.8,1.3,107,111,108,51.729837,-0.118359,530047,205133,0,0,0,2,11,1.0,0.6,<30
173,St Mary's Church of England VA Primary (North Mymms) **,30,20,20,0.0,0.0,0.0,20.0,0.0,0.0,13.0,3.0,3.0,1.0,2019,117497,0.67,0.13,0.3,-2,0.4,106,107,105,51.735564,-0.221078,522938,205592,0,0,2,6,15,3.0,0.43333333333333335,30
174,Northaw C of E Primary School **,15,34,12,0.0,0.0,0.0,12.0,0.0,0.0,7.0,8.0,6.0,13.0,2019,117569,0.67,0,-0.8,-5.2,-3.2,107,107,104,51.706229,-0.147576,528096,202456,0,0,2,4,11,2.0,0.4666666666666667,<30
175,Eastbury Farm Primary School,45,147,45,19.0,18.0,8.0,45.0,1267.42,1063.09,59.0,40.0,36.0,12.0,2019,117245,0.83,0.38,1.6,4.2,1.8,109,111,108,51.625227,-0.418137,509597,193008,0,0,4,11,26,2.0,1.3111111111111111,31-59
176,Offley Endowed Primary School **,20,20,20,0.0,0.0,0.0,20.0,0.0,0.0,15.0,3.0,1.0,1.0,2019,117445,0.81,0.24,1.1,2.2,0.6,107,107,105,51.931325,-0.341016,514161,227168,0,0,0,0,7,2.0,0.75,<30
177,How Wood Primary School,30,86,27,7.0,16.0,4.0,27.0,1176.5,2435.31,25.0,33.0,21.0,7.0,2019,117235,0.67,0.11,-1.3,-2.1,-2.5,107,109,105,51.720239,-0.345245,514403,203686,1,1,3,5,28,2.0,0.8333333333333334,30
178,Park Street Church of England Primary School and Nursery **,30,65,24,0.0,0.0,0.0,24.0,0.0,0.0,24.0,14.0,16.0,11.0,2019,117452,0.73,0.03,-1.5,0.2,-1.5,105,106,104,51.719753,-0.340998,514698,203639,1,1,3,7,29,2.0,0.8,30
179,Pirton School,21,33,21,8.0,7.0,6.0,21.0,615.41,6338.91,21.0,8.0,3.0,1.0,2019,117128,0.7,0.13,-0.2,1,-1.6,107,105,104,51.973729,-0.333229,514588,231896,0,0,0,0,7,2.0,1.0,<30
180,Potten End C of E Primary School,30,74,30,9.0,4.0,17.0,30.0,396.31,4538.51,27.0,20.0,14.0,13.0,2019,117414,0.57,0.13,-2.7,0.2,-1.4,105,106,105,51.770372,-0.527246,501719,208992,0,0,0,5,19,2.0,0.9,30
181,Cranborne Primary (Potters Bar) *,60,207,60,26.0,33.0,1.0,60.0,1033.84,685.25,70.0,65.0,43.0,29.0,2019,117369,0.64,0.26,-0.4,0.8,2.3,107,107,109,51.699803,-0.199312,524539,201652,0,1,4,7,9,2.0,1.1666666666666667,60
